599	c64	10796.15	100.0	alive
599	c65	10798.75	100.0	alive
599	c66	10781.10	99.8	alive
599	c67	10798.70	100.0	alive
599	c68	10798.73	100.0	alive
599	c69	10784.62	99.9	alive
599	c70	10798.63	100.0	alive
599	c71	10798.76	100.0	alive
599	c72	10798.67	100.0	alive
599	c73	10798.67	100.0	alive
599	c74	10798.69	100.0	alive
599	c75	10798.61	100.0	alive
599	c76	10798.70	100.0	alive
599	c77	10790.80	99.9	alive
599	c78	10789.87	99.9	alive
599	c79	10788.16	99.9	alive
599	c80	10793.64	99.9	alive
599	c81	10767.66	99.7	alive
599	c82	10798.74	100.0	alive
599	c83	10795.77	100.0	alive
599	c84	10798.62	100.0	alive
599	w85	10796.78	100.0	alive
599	w86	10796.78	100.0	alive
599	w87	10793.56	99.9	alive
599	w88	10799.40	100.0	alive
599	w89	10799.40	100.0	alive
599	w90	10799.40	100.0	alive
599	w91	10799.40	100.0	alive
599	t392	10799.13	100.0	alive
599	t393	10799.15	100.0	alive
599	t494	10799.20	100.0	alive
599	t495	10799.21	100.0	alive
599	t496	10793.97	99.9	alive
599	t497	10792.97	99.9	alive
599	t1098	10799.20	100.0	alive
599	t1099	10799.13	100.0	alive

899	p0	10791.19	99.9	alive
899	p1	10792.35	99.9	alive
899	p2	10793.82	99.9	alive
899	p3	10798.24	100.0	alive
899	p4	10786.61	99.9	alive
899	p5	10795.57	100.0	alive
899	p6	10787.88	99.9	alive
899	p7	10798.19	100.0	alive
899	p8	10777.21	99.8	alive
899	p9	10798.27	100.0	alive
899	p10	10798.28	100.0	alive
899	p11	10798.21	100.0	alive
899	p12	10789.09	99.9	alive
899	p13	10793.29	99.9	alive
899	p14	10789.63	99.9	alive
899	p15	10798.17	100.0	alive
899	p16	10789.43	99.9	alive
899	p17	10798.20	100.0	alive
899	p18	10798.20	100.0	alive
899	p19	10793.80	99.9	alive
899	p20	10798.15	100.0	alive
899	p21	10798.28	100.0	alive
899	p22	10798.21	100.0	alive
899	p23	10795.56	100.0	alive
899	p24	10786.41	99.9	alive
899	p25	10795.61	100.0	alive
899	p26	10795.46	100.0	alive
899	p27	10791.73	99.9	alive
899	p28	10792.98	99.9	alive
899	p29	10778.18	99.8	alive
899	p30	10792.37	99.9	alive
899	p31	10788.62	99.9	alive
899	p32	10798.17	100.0	alive
899	p33	10783.32	99.8	alive
899	p34	10798.20	100.0	alive
899	p35	10794.68	100.0	alive
899	p36	10787.37	99.9	alive
899	p37	10795.53	100.0	alive
899	p38	10798.20	100.0	alive
899	p39	10792.39	99.9	alive
899	p40	10798.15	100.0	alive
899	p41	10792.38	99.9	alive
899	p42	10798.22	100.0	alive
899	p43	10798.24	100.0	alive
