# Battery Life Report
# host   remaining_J   initial_J   pct_left   tx_J   rx_J   scan_J   dead
# -----------------------------------------------------------------------
c72	4870.13	10800.00	45.1%	196.8739	5669.1189	43.2001	alive
c73	3506.24	10800.00	32.5%	241.8961	6988.2484	43.2001	alive
c74	7125.69	10800.00	66.0%	299.1115	3312.0874	43.2001	alive
c75	7596.69	10800.00	70.3%	225.7984	2914.1058	43.2001	alive
c76	6339.25	10800.00	58.7%	261.7905	4134.7443	43.2001	alive
c77	7361.60	10800.00	68.2%	222.1176	3152.5621	43.2001	alive
c78	7370.67	10800.00	68.2%	138.2230	3228.0603	43.2001	alive
c79	5766.50	10800.00	53.4%	207.8842	4761.9166	43.2001	alive
c80	7164.69	10800.00	66.3%	133.1962	3438.4062	43.2001	alive
c81	6420.85	10800.00	59.5%	106.1013	4209.4624	43.2001	alive
c82	7768.83	10800.00	71.9%	181.2581	2786.6378	43.2001	alive
c83	4338.57	10800.00	40.2%	150.4621	6247.5320	43.2001	alive
c84	5031.65	10800.00	46.6%	137.5519	5566.9792	43.2001	alive
w85	0.00	10800.00	0.0%	1080.9480	9698.9287	22.2721	DEAD
w86	8534.97	10800.00	79.0%	170.8579	2050.9712	43.2001	alive
w87	5670.35	10800.00	52.5%	2538.2468	2548.2068	43.2001	alive
w88	10717.41	10800.00	99.2%	37.5059	1.8803	43.2001	alive
w89	10744.88	10800.00	99.5%	2.7100	9.2142	43.2001	alive
w90	10117.42	10800.00	93.7%	499.2098	140.1677	43.2001	alive
w91	0.00	10800.00	0.0%	440.7685	10333.7818	25.9354	DEAD
t392	0.00	10800.00	0.0%	1449.7115	9329.4822	17.5981	DEAD
t393	4651.36	10800.00	43.1%	1157.6154	4939.4760	43.2001	alive
t494	0.00	10800.00	0.0%	1912.0368	8844.8411	39.8440	DEAD
t495	4246.84	10800.00	39.3%	1101.6892	5402.4938	43.2001	alive
t496	0.00	10800.00	0.0%	704.0155	10054.8017	37.8796	DEAD
t497	0.00	10800.00	0.0%	464.5476	10311.4468	22.2537	DEAD
t1098	0.00	10800.00	0.0%	33.4511	10757.3161	8.8156	DEAD
t1099	10597.21	10800.00	98.1%	89.8783	62.4479	43.2001	alive

# Summary
Nodes dead: 21 / 100
Network avg remaining: 49.5%
